,Graduado,Calificacion_Promedio,Tareas_Puntuales,Tareas_No_Entregadas,Tareas_Retrasadas,Total_Tareas,Dias_Conectado,Minutos_Promedio,Minutos_Total,clase,Año,Mes,CICLO,Org
0,Si,65.59866666666667,13.0,2.0,0.0,15.0,32.0,370.2312499999999,11847.399999999996,Liderazgo y Motivación,2017,3,0.375,MER
1,No,86.48222222222222,9.0,0.0,0.0,9.0,50.0,198.7174,9935.87,Finanzas para no Financieros,2017,3,0.375,FZ
2,No,63.19666666666666,12.0,2.0,1.0,15.0,22.0,294.5359090909091,6479.790000000001,Liderazgo y Motivación,2017,3,0.375,AN
3,Si,84.98833333333333,8.0,0.0,4.0,12.0,29.0,471.42137931034483,13671.22,La Tecnología en la Educación,2017,3,0.375,EDU
4,Si,68.54266666666666,11.0,3.0,1.0,15.0,31.0,306.0232258064516,9486.72,Liderazgo y Motivación,2017,3,0.375,EDU
5,No,76.64133333333334,13.0,2.0,0.0,15.0,30.0,691.9446666666665,20758.34,Liderazgo y Motivación,2017,3,0.375,MER
6,Si,84.0,13.0,2.0,0.0,15.0,80.0,296.22849999999994,23698.279999999995,Liderazgo y Motivación,2017,3,0.375,AN
7,No,30.0,6.0,9.0,0.0,15.0,12.0,483.49833333333333,5801.980000000001,Liderazgo y Motivación,2017,3,0.375,AN
8,Si,66.83333333333333,8.0,3.0,1.0,12.0,35.0,273.00542857142864,9555.190000000002,La Tecnología en la Educación,2017,3,0.375,EDU
9,Si,83.28583333333333,11.0,0.0,1.0,12.0,37.0,457.59945945945947,16931.18,La Tecnología en la Educación,2017,3,0.375,EDU
10,Si,82.74333333333334,13.0,2.0,0.0,15.0,35.0,412.0162857142857,14420.569999999998,Liderazgo y Motivación,2017,3,0.375,AN
11,No,74.6675,8.0,0.0,0.0,8.0,21.0,190.292380952381,3996.1400000000012,Nuevas Herramientas para Enseñar,2017,4,0.5,EDU
12,No,76.85222222222222,9.0,0.0,0.0,9.0,18.0,295.8094444444445,5324.5700000000015,Finanzas para no Financieros,2017,3,0.375,FZ
13,Si,75.59866666666667,12.0,2.0,1.0,15.0,40.0,773.243,30929.72,Liderazgo y Motivación,2017,3,0.375,AN
14,No,84.81555555555556,9.0,0.0,0.0,9.0,15.0,324.1213333333334,4861.8200000000015,Finanzas para no Financieros,2017,3,0.375,FZ
15,No,79.44444444444444,8.0,1.0,0.0,9.0,15.0,326.09333333333336,4891.4000000000015,Finanzas para no Financieros,2017,3,0.375,FZ
16,No,33.70333333333333,4.0,5.0,0.0,9.0,9.0,396.37,3567.33,Planeación Estratégica,2017,4,0.5,FZ
17,Si,89.03777777777779,9.0,0.0,0.0,9.0,28.0,132.42750000000004,3707.970000000001,Gestión de las Adquisiciones,2017,4,0.5,AN
18,Si,83.70333333333333,9.0,0.0,0.0,9.0,36.0,265.51277777777784,9558.46,Planeación Estratégica,2017,4,0.5,AN
19,Si,82.03777777777778,9.0,0.0,0.0,9.0,25.0,539.8124,13495.31,Empowerment,2017,4,0.5,AN
20,No,0.0,0.0,9.0,0.0,9.0,4.0,19.8675,79.47,Planeación Estratégica,2017,4,0.5,FZ
21,No,33.63636363636363,5.0,6.0,0.0,11.0,15.0,445.57666666666665,6683.65,Toma de Decisiones,2017,5,0.625,FZ
22,Si,75.55555555555556,9.0,0.0,0.0,9.0,50.0,125.21339999999998,6260.669999999999,Gestión de las Adquisiciones,2017,4,0.5,AN
23,Si,71.533,9.0,1.0,0.0,10.0,110.0,79.79500000000003,8777.450000000003,Crecimiento y Desarrollo Humano,2017,4,0.5,EDU
24,Si,92.03666666666666,9.0,0.0,0.0,9.0,44.0,165.2925,7272.869999999999,Gestión de las Adquisiciones,2017,4,0.5,AN
25,No,65.833,8.0,2.0,0.0,10.0,13.0,322.77384615384614,4196.06,Crecimiento y Desarrollo Humano,2017,4,0.5,EDU
26,Si,87.12083333333334,11.0,1.0,0.0,12.0,81.0,265.44086419753086,21500.71,Mercadotecnia Estratégica,2018,3,1.375,MER
27,Si,93.667,10.0,0.0,0.0,10.0,32.0,94.2140625,3014.850000000001,Trabajo en Equipo,2017,5,0.625,RH
28,Si,97.40777777777778,8.0,0.0,1.0,9.0,104.0,296.09192307692297,30793.559999999994,Finanzas para el Manejo de Marcas,2018,7,1.875,MER
29,No,69.62888888888891,8.0,1.0,0.0,9.0,29.0,388.2868965517241,11260.32,Empowerment,2017,4,0.5,AN
30,No,21.25,2.0,6.0,0.0,8.0,5.0,63.65999999999999,318.2999999999999,Modelos y Herramientas para la Administración,2017,5,0.625,AN
31,No,69.8,4.0,1.0,0.0,5.0,42.0,84.0566666666667,3530.380000000001,Estrategias de negocios,2019,8,3.0,AN
32,No,85.0,11.0,1.0,0.0,12.0,22.0,316.85454545454536,6970.799999999998,Evaluación de Instituciones Educativos,2017,4,0.5,EDU
33,Si,78.14888888888889,9.0,0.0,0.0,9.0,32.0,159.25031249999995,5096.009999999998,Planeación Estratégica,2017,4,0.5,FZ
34,Si,82.96333333333334,9.0,0.0,0.0,9.0,80.0,236.32012500000005,18905.610000000004,Planeación Estratégica,2017,4,0.5,FZ
35,Si,89.44555555555556,9.0,0.0,0.0,9.0,32.0,501.58625,16050.76,Gestión de las Adquisiciones,2017,4,0.5,AN
36,No,87.9175,8.0,0.0,0.0,8.0,31.0,166.501935483871,5161.56,Sistemas de Información de Mercadotecnia,2017,4,0.5,MER
37,Si,79.75,6.0,0.0,2.0,8.0,27.0,221.29888888888885,5975.069999999999,Nuevas Herramientas para Enseñar,2017,4,0.5,EDU
38,Si,90.667,10.0,0.0,0.0,10.0,39.0,104.91102564102565,4091.53,Trabajo en Equipo,2017,5,0.625,RH
39,Si,84.1675,8.0,0.0,0.0,8.0,25.0,417.78959999999984,10444.739999999994,Nuevas Herramientas para Enseñar,2017,4,0.5,EDU
40,Si,67.03777777777778,9.0,0.0,0.0,9.0,35.0,105.22,3682.7,Planeación Estratégica,2017,4,0.5,FZ
41,No,60.37,8.0,1.0,0.0,9.0,16.0,152.12750000000003,2434.0400000000004,Planeación Estratégica,2017,4,0.5,AN
42,Si,91.333,10.0,0.0,0.0,10.0,31.0,280.18645161290317,8685.78,Trabajo en Equipo,2017,5,0.625,RH
43,No,22.222222222222218,3.0,6.0,0.0,9.0,7.0,333.98,2337.86,Planeación Estratégica,2017,4,0.5,FZ
44,Si,80.37111111111109,9.0,0.0,0.0,9.0,38.0,203.21894736842103,7722.319999999999,Planeación Estratégica,2017,4,0.5,FZ
45,No,84.0,9.0,1.0,0.0,10.0,18.0,101.29555555555555,1823.32,Trabajo en Equipo,2017,5,0.625,AN
46,No,85.47571428571429,7.0,0.0,0.0,7.0,11.0,64.59181818181818,710.51,Estrategias de Aprendizaje en Educación a Distancia,2017,5,0.625,EDU
47,Si,97.5,8.0,0.0,0.0,8.0,31.0,223.7348387096774,6935.78,Modelos y Herramientas para la Administración,2017,5,0.625,AN
48,Si,67.27272727272727,9.0,2.0,0.0,11.0,11.0,59.59636363636364,655.5600000000002,Toma de Decisiones,2017,5,0.625,AN
49,No,0.0,0.0,10.0,0.0,10.0,7.0,140.86857142857144,986.08,Trabajo en Equipo,2017,5,0.625,EDU
50,Si,78.001,10.0,0.0,0.0,10.0,15.0,138.24333333333334,2073.65,Trabajo en Equipo,2017,5,0.625,AN
51,Si,88.09571428571428,7.0,0.0,0.0,7.0,24.0,221.16416666666663,5307.94,Estrategias de Aprendizaje en Educación a Distancia,2017,5,0.625,EDU
52,Si,87.03666666666666,9.0,0.0,0.0,9.0,29.0,97.34344827586209,2822.96,Finanzas para el Manejo de Marcas,2017,5,0.625,MER
53,Si,72.30769230769229,10.0,3.0,0.0,13.0,54.0,134.2796296296296,7251.099999999998,Creativity Workshop: pensamiento lateral aplicado,2017,7,0.875,RH
54,No,25.45454545454545,4.0,7.0,0.0,11.0,18.0,605.4438888888889,10897.99,Toma de Decisiones,2017,5,0.625,FZ
55,Si,95.8325,8.0,0.0,0.0,8.0,31.0,188.48709677419356,5843.0999999999985,Modelos y Herramientas para la Administración,2017,5,0.625,AN
56,Si,97.5,8.0,0.0,0.0,8.0,75.0,287.8998666666667,21592.49,Modelos y Herramientas para la Administración,2017,5,0.625,AN
57,No,94.44444444444444,8.0,0.0,1.0,9.0,31.0,198.06612903225812,6140.05,Finanzas para el Manejo de Marcas,2017,5,0.625,MER
58,No,49.0,6.0,4.0,0.0,10.0,17.0,290.90470588235286,4945.379999999999,Trabajo en Equipo,2017,5,0.625,EDU
59,Si,87.14285714285714,7.0,0.0,0.0,7.0,20.0,237.41250000000008,4748.250000000002,Estrategias de Aprendizaje en Educación a Distancia,2017,5,0.625,EDU
60,No,17.727272727272727,2.0,9.0,0.0,11.0,10.0,275.23400000000004,2752.34,Mercadotecnia Estratégica,2017,6,0.75,MER
61,Si,96.25,8.0,0.0,0.0,8.0,49.0,160.53204081632651,7866.07,Modelos y Herramientas para la Administración,2017,5,0.625,AN
62,No,0.0,0.0,10.0,0.0,10.0,7.0,37.19,260.33,Trabajo en Equipo,2017,5,0.625,AN
63,No,88.14777777777779,9.0,0.0,0.0,9.0,105.0,315.35142857142864,33111.9,Estrategias de Enseñanza,2017,6,0.75,EDU
64,Si,80.9090909090909,11.0,0.0,0.0,11.0,26.0,171.50576923076932,4459.1500000000015,Toma de Decisiones,2017,5,0.625,AN
65,No,21.11111111111111,2.0,7.0,0.0,9.0,6.0,745.8399999999997,4475.039999999999,Finanzas para el Manejo de Marcas,2017,5,0.625,MER
66,No,80.0,9.0,1.0,0.0,10.0,22.0,522.8118181818181,11501.86,Formación Integral ,2017,5,0.625,EDU
67,Si,93.0,9.0,0.0,1.0,10.0,39.0,332.66538461538465,12973.95,Formación Integral ,2017,5,0.625,EDU
68,No,10.0,1.0,9.0,0.0,10.0,5.0,528.134,2640.67,Formación Integral ,2017,5,0.625,EDU
69,No,20.90909090909091,3.0,8.0,0.0,11.0,11.0,245.40727272727267,2699.48,Toma de Decisiones,2017,5,0.625,AN
70,Si,84.834,10.0,0.0,0.0,10.0,29.0,162.78413793103454,4720.740000000002,Trabajo en Equipo,2017,5,0.625,AN
71,Si,83.63636363636364,11.0,0.0,0.0,11.0,38.0,327.33789473684214,12438.840000000002,Toma de Decisiones,2017,5,0.625,FZ
72,No,37.0,0.0,6.0,4.0,10.0,5.0,372.686,1863.43,Formación Integral ,2017,5,0.625,EDU
73,Si,95.667,10.0,0.0,0.0,10.0,28.0,83.3335714285714,2333.3399999999992,Trabajo en Equipo,2017,5,0.625,RH
74,Si,78.0,6.0,1.0,3.0,10.0,35.0,182.69514285714283,6394.329999999999,Formación Integral ,2017,5,0.625,EDU
75,Si,81.51454545454546,10.0,1.0,0.0,11.0,51.0,230.8723529411765,11774.490000000002,Inteligencia Emocional,2017,5,0.625,AN
76,No,91.66625,8.0,0.0,0.0,8.0,53.0,158.76566037735844,8414.579999999998,Modelos y Herramientas para la Administración,2017,5,0.625,AN
77,No,12.098888888888887,4.0,5.0,0.0,9.0,9.0,150.2611111111111,1352.35,Diseño Instruccional para Programas a Distancia,2017,6,0.75,EDU
78,Si,86.81818181818181,11.0,0.0,0.0,11.0,41.0,213.23365853658527,8742.579999999998,Mercadotecnia Estratégica,2017,6,0.75,AN
79,Si,91.35888888888887,9.0,0.0,0.0,9.0,56.0,247.3482142857143,13851.500000000002,Diseño Instruccional para Programas a Distancia,2017,6,0.75,EDU
80,No,86.0,10.0,0.0,0.0,10.0,21.0,90.11857142857146,1892.4900000000007,Administración de Proyectos,2017,6,0.75,AN
